dtm_product_id,status,pairs_saved,source_mission
DTEEC_018854_1755_018920_1755_U01,ok,1,MSL
DTEEC_010573_1755_010639_1755_U01,ok,0,MSL
DTEEC_040770_1755_039280_1755_A01,ok,65,MSL
DTEEC_019698_1750_019988_1750_U01,ok,0,MSL
